date;lieux;adresse;cours;theme;debut_am;fin_am;debut_pm;fin_pm;intervenant_name
16/09/2019;CCI Nice;61-63 avenue Simone Veil 06200 Nice;Presentation;;;;13.30;17.00;Nicole Suivant
17/09/2019;CCI Nice;61-63 avenue Simone Veil 06200 Nice;Workshop;Creativite et cooperation;;;13.30;17.00;Life Bloom Academy
18/09/2019;CCI Nice;61-63 avenue Simone Veil 06200 Nice;Atelier projet;;;;13.30;17.00;Nicole Suivant
19/09/2019;CCI Nice;61-63 avenue Simone Veil 06200 Nice;Decouverte metier ;;9;12.30;13.30;17.00;Nicole Suivant
20/09/2019;CCI Nice;61-63 avenue Simone Veil 06200 Nice;Workshop;Qui suis-je?;;;13.30;17.00;Life Bloom Academy
23/09/2019;CCI Nice;61-63 avenue Simone Veil 06200 Nice;Preparation;Enquete Metiers;;;13.30;17.00;Nicole Suivant
24/09/2019;CCI Nice;61-63 avenue Simone Veil 06200 Nice;Decouverte metier 1;;;;13.30;17.00;Corinne Mori
25/09/2019;CCI Nice;61-63 avenue Simone Veil 06200 Nice;Decouverte metier 2;;;;13.30;17.00;Corinne Mori
26/09/2019;CCI Nice;61-63 avenue Simone Veil 06200 Nice;Feedback;Ancrage des projets;;;13.30;17.00;Nicole Suivant
27/09/2019;CCI Nice;61-63 avenue Simone Veil 06200 Nice;Workshop;IKIGAI;;;13.30;17.00;Life Bloom Academy
